CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,SD01_01,SD02,SD15,SD14_02,SD16,SD17_01,SD18,SD19,SD20,SD21_01,SD21_02,SD21_03,SD22_01,SD22_02,SD22_03,SD22_04,SD22_05,SD22_06,SD22_07,SD22_08,SD22_09,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS22,PS11,PS10,PS04_01,PS19_01,PS19_02,PS03,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F008_01,F008_02,F008_03,F008_04,F008_05,F008_06,F008_07,F008_08,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP08_01,PP08_02,PP08_03,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG16_01,LG16_02,LG16_03,LG16_04,LG16_05,LG16_06,LG16_07,LG16_08,LG16_09,LG16_10,LG16_11,LG18_01,LG18_02,LG18_03,LG18_04,LG18_05,LG18_06,LG18_07,LG18_08,LG18_09,LG18_10,LG18_11,LG18_12,LG18_13,LG18_14,LG18_15,LG17_01,LG17_02,LG17_03,LG17_04,LG17_05,LG17_06,LG17_07,LG17_08,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,TP03_01,TP03_02,TP03_03,TP03_04,CV26_01,CV27_01,CV27_02,CV27_03,CV27_04,CV27_05,EP01,EP01_01,EP01_02,EP01_03,EP01_04,EP01_05,EP01_06,EP01_07,EP01_08,EP01_09,EP01_10,EP01_11,EP01_12,EP01_13,EP01_14,EP01_15,EP01_16,EP02_01,EP02_02,EP02_03,EP02_04,EP02_05,EP02_06,EP02_07,EP02_08,EP02_09,EP02_11,EP02_12,EP03_01,EP03_02,EP03_03,EP03_04,EP03_05,EP03_06,EP03_07,EP04_01,EP04_02,EP04_03,EP04_04,EP05_01,EP05_02,EP05_03,EP05_04,EP05_05,EP05_06,EP06_01,EP06_02,EP06_03,EP06_04,BP01_01,BP01_02,BP01_03,BP01_04,BP01_05,BP01_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
97,,,base,interview,2022-01-24 09:49:45,20,weiblich,mit anderen Personen zusammen.,0,nicht erwerbstätig.,,Deutsch,der Mittelschicht,der Mittelschicht,9.0,9.0,9.0,Weder noch,Weder noch,Trifft überhaupt nicht zu,Trifft eher nicht zu,Trifft überhaupt nicht zu,Trifft voll und ganz zu,Trifft überhaupt nicht zu,Trifft voll und ganz zu,Trifft eher zu,äußerst wichtig,äußerst wichtig,,Kein Erweiterungsfach,MA,BU,WiSe 2019/20,BU,Fachpraktikum B,ja,50,12.0,5,MS,Dezember 2021,trifft voll zu,5.0,5.0,trifft voll zu,5.0,trifft zu,trifft zu,trifft zu,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,2.0,sehr häufig,3.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,3.0,2.0,3.0,sehr häufig,sehr häufig,sehr häufig,4.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,sehr häufig,4.0,sehr häufig,4.0,sehr häufig,sehr häufig,sehr häufig,5.0,5.0,3.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,5.0,5.0,,M,F,V,23,B,5.0,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,4.0,5.0,5.0,3.0,3.0,4.0,sehr häufig,4.0,5.0,4.0,5.0,3.0,5.0,sehr häufig,4.0,3.0,sehr häufig,3.0,4.0,sehr häufig,5.0,sehr häufig,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,5.0,5.0,25.0,45.0,30.0,50.0,9.0,24.0,75.0,41.0,35.0,32.0,40.0,41.0,60.0,34.0,56.0,24.0,43.0,43.0,69.0,27.0,808.0,,2022-01-24 10:03:13,ausgefüllt,Teilnehmer,22.0,22.0,2.0,1.0,,11.0
366,,,base,interview,2022-01-25 08:07:29,20,weiblich,bei meinen Eltern.,0,nicht erwerbstätig.,,Deutsch,der Arbeiterschicht,der Arbeiterschicht,5.0,3.0,5.0,Trifft eher nicht zu,Trifft voll und ganz zu,Trifft eher nicht zu,Trifft eher zu,Weder noch,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft überhaupt nicht zu,5.0,äußerst wichtig,,Kein Erweiterungsfach,MA,BU,WiSe 2020/21,EN,Einführungspraktikum A,ja,20,5.0,0,"BMHS (z. B. HTL, HAK, ...)",Dezember 2021,4.0,4.0,5.0,5.0,trifft voll zu,trifft zu,trifft zu,5.0,4.0,trifft zu,trifft zu,5.0,3.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,,5.0,5.0,2.0,5.0,sehr häufig,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,sehr häufig,,,,sehr häufig,4.0,,,,,,,,,,,,,5.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,Manche Fragen sind für das Einführungspraktikum A nicht zu beantworten. In Zukunft einfach diese Fragen auch wieder überspringen (wenn man das dazu nötige Praktikum noch nicht gemacht hat)<br>?,I,F,S,27,B,2.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,5.0,5.0,sehr häufig,,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,5.0,5.0,4.0,2.0,4.0,2.0,sehr häufig,5.0,4.0,2.0,5.0,sehr häufig,5.0,sehr häufig,3.0,2.0,5.0,3.0,4.0,sehr häufig,sehr häufig,5.0,,5.0,4.0,2.0,,,10.0,25.0,49.0,17.0,56.0,18.0,44.0,75.0,45.0,53.0,69.0,51.0,22.0,17.0,57.0,76.0,41.0,78.0,66.0,73.0,128.0,980.0,,2022-01-25 08:25:19,ausgefüllt,Teilnehmer,22.0,22.0,30.0,28.0,1.0,11.0
137,,,base,interview,2022-01-24 12:02:12,24,weiblich,alleine.,0,nicht erwerbstätig.,0,Deutsch,der Mittelschicht,der Mittelschicht,7.0,7.0,8.0,Weder noch,Trifft eher nicht zu,Trifft eher nicht zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher zu,5.0,6.0,,Kein Erweiterungsfach,IP,BU,WiSe 2018/19,IP,Vertiefungspraktikum A,ja,50,10.0,26,ASO,Dezember 2021,trifft voll zu,trifft voll zu,trifft voll zu,5.0,trifft voll zu,4.0,2.0,4.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,4.0,nie,2.0,4.0,3.0,3.0,3.0,5.0,2.0,5.0,4.0,5.0,5.0,sehr häufig,3.0,sehr häufig,5.0,4.0,sehr häufig,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,,M,A,M,07,B,4.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,4.0,2.0,3.0,2.0,sehr häufig,sehr häufig,sehr häufig,3.0,sehr häufig,2.0,nie,2.0,2.0,4.0,3.0,sehr häufig,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,6.0,18.0,71.0,25.0,56.0,28.0,33.0,106.0,73.0,48.0,53.0,66.0,140.0,1215.0,37.0,92.0,63.0,74.0,46.0,76.0,66.0,1228.0,,2022-01-24 12:42:04,ausgefüllt,Teilnehmer,22.0,22.0,1.0,0.0,,1.0
171,,,base,interview,2022-01-24 12:25:56,20,weiblich,bei meinen Eltern.,0,erwerbstätig.,6,Deutsch,der oberen Mittelschicht,der Mittelschicht,6.0,6.0,7.0,Weder noch,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft voll und ganz zu,Trifft überhaupt nicht zu,Trifft voll und ganz zu,Weder noch,5.0,5.0,,,PuP,BU,WiSe 2021/22,MA,Einführungspraktikum A,ja,20,5.0,15,"BMHS (z. B. HTL, HAK, ...)",November 2021,5.0,5.0,5.0,4.0,4.0,trifft zu,trifft zu,trifft zu,5.0,trifft zu,trifft zu,5.0,5.0,5.0,4.0,trifft voll und ganz zu,4.0,5.0,3.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,2.0,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,nie,5.0,5.0,nie,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,nie,4.0,5.0,5.0,nie,2.0,4.0,nie,nie,4.0,nie,5.0,nie,4.0,nie,nie,nie,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,5.0,,C,J,L,31,B,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,5.0,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,5.0,sehr häufig,sehr häufig,5.0,5.0,3.0,sehr häufig,5.0,sehr häufig,5.0,5.0,4.0,sehr häufig,5.0,4.0,sehr häufig,4.0,4.0,sehr häufig,5.0,sehr häufig,sehr häufig,5.0,sehr häufig,3.0,5.0,5.0,5.0,5.0,4.0,2.0,25.0,46.0,11.0,25.0,14.0,15.0,98.0,38.0,50.0,42.0,67.0,35.0,59.0,43.0,76.0,22.0,65.0,62.0,87.0,40.0,922.0,,2022-01-24 12:41:18,ausgefüllt,Teilnehmer,22.0,22.0,2.0,0.0,,13.0
502,,,base,interview,2022-02-07 09:39:07,22,weiblich,mit meinem*meiner Partner*in.,0,erwerbstätig.,10,Deutsch,der Oberschicht,der oberen Mittelschicht,9.0,9.0,trifft voll und ganz zu,Trifft eher nicht zu,Weder noch,Trifft eher nicht zu,Weder noch,Trifft überhaupt nicht zu,Weder noch,Trifft eher zu,Trifft eher zu,Trifft eher zu,äußerst wichtig,äußerst wichtig,,,ME,EN,WiSe 2018/19,ME,Vertiefungspraktikum B,ja,51,20.0,14,AHS,November 2021,trifft voll zu,trifft voll zu,5.0,5.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,3.0,4.0,trifft nicht zu,4.0,5.0,3.0,4.0,trifft voll und ganz zu,3.0,3.0,3.0,2.0,2.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,4.0,sehr häufig,nie,2.0,nie,2.0,5.0,nie,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,4.0,4.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,5.0,2.0,5.0,sehr häufig,sehr häufig,3.0,sehr häufig,nie,3.0,nie,nie,sehr häufig,5.0,3.0,3.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,nie,sehr häufig,4.0,3.0,trifft voll und ganz zu,2.0,2.0,4.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,3.0,trifft voll und ganz zu,trifft voll und ganz zu,3.0,4.0,3.0,4.0,,G,R,A,05,B,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,5.0,4.0,4.0,5.0,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,3.0,2.0,5.0,3.0,4.0,3.0,sehr häufig,sehr häufig,5.0,3.0,3.0,sehr häufig,2.0,2.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,19.0,52.0,20.0,34.0,12.0,32.0,59.0,34.0,41.0,118.0,124.0,38.0,78.0,388.0,125.0,66.0,63.0,55.0,82.0,36.0,989.0,,2022-02-07 10:03:48,ausgefüllt,Teilnehmer,22.0,22.0,2.0,0.0,,4.0
165,,,base,interview,2022-01-24 12:22:32,22,weiblich,mit anderen Personen zusammen.,,erwerbstätig.,10,Deutsch,der oberen Mittelschicht,der Mittelschicht,8.0,6.0,8.0,Trifft eher zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher nicht zu,4.0,6.0,,Kein Erweiterungsfach,DE,GW,WiSe 2018/19,DE,Vertiefungspraktikum B,ja,52,12.0,14,"BMHS (z. B. HTL, HAK, ...)",November 2021,3.0,5.0,3.0,5.0,5.0,5.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,5.0,4.0,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,5.0,trifft voll zu,trifft voll zu,trifft voll zu,5.0,3.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,sehr häufig,3.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,nie,4.0,2.0,2.0,nie,4.0,2.0,nie,3.0,nie,4.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,trifft voll und ganz zu,5.0,5.0,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,3.0,4.0,4.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,4.0,4.0,,I,W,M,10,B,4.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,5.0,2.0,5.0,5.0,5.0,sehr häufig,sehr häufig,5.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,19.0,28.0,21.0,33.0,7.0,27.0,189.0,30.0,35.0,33.0,40.0,333.0,111.0,48.0,243.0,33.0,208.0,35.0,139.0,29.0,950.0,,2022-01-24 12:49:56,ausgefüllt,Teilnehmer,22.0,22.0,2.0,1.0,,11.0
443,,,base,interview,2022-01-27 15:42:26,26,männlich,mit anderen Personen zusammen.,,nicht erwerbstätig.,,Deutsch,der Mittelschicht,der Mittelschicht,5.0,5.0,5.0,Trifft eher zu,Weder noch,Weder noch,Trifft voll und ganz zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher nicht zu,5.0,5.0,,,GS,DE,WiSe 2018/19,DE,Fachpraktikum B,ja,50,12.0,5,MS,Dezember 2021,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,trifft zu,4.0,4.0,3.0,4.0,5.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,4.0,2.0,3.0,trifft voll zu,2.0,3.0,sehr häufig,4.0,2.0,nie,2.0,2.0,2.0,3.0,4.0,4.0,5.0,nie,4.0,4.0,4.0,nie,2.0,4.0,5.0,3.0,2.0,5.0,3.0,nie,5.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,nie,2.0,3.0,nie,nie,3.0,4.0,sehr häufig,3.0,sehr häufig,4.0,3.0,2.0,2.0,3.0,4.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft gar nicht zu,2.0,3.0,5.0,3.0,trifft gar nicht zu,"Bezüglich des Stundenausmaßes: Es ist mir nicht ersichtlich, wie das Verhältnis zwischen der Anzahl der zu erbringenden Stunden der Hospitationen und Unterrichtsgestaltungen zueinander stehen kann, bzw. welche Sinnhafigkeit dahinter steckt, dass 30 Hospitationen zu erbringen sind, wohingegen nur mindestens 4 Unterrichtseinheiten abgehalten werden müssen. Für Unterrichtsbeobachtungen könnten sicher auch weniger Stunden ausreichend sein.",R,H,V,15,G,5.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,4.0,4.0,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,4.0,3.0,4.0,nie,nie,nie,4.0,3.0,3.0,5.0,nie,nie,nie,3.0,sehr häufig,nie,3.0,3.0,2.0,nie,nie,nie,2.0,4.0,nie,5.0,5.0,5.0,4.0,trifft voll und ganz zu,5.0,72.0,27.0,64.0,26.0,58.0,32.0,130.0,179.0,39.0,68.0,39.0,51.0,104.0,106.0,44.0,104.0,37.0,61.0,68.0,94.0,668.0,1260.0,,2022-01-27 16:16:57,ausgefüllt,Teilnehmer,22.0,22.0,2.0,1.0,,1.0
324,,,base,interview,2022-01-24 18:38:06,20,männlich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,der oberen Mittelschicht,der oberen Mittelschicht,8.0,9.0,8.0,Trifft eher nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Weder noch,Trifft eher zu,Trifft eher nicht zu,Trifft voll und ganz zu,Trifft eher nicht zu,6.0,äußerst wichtig,,,KR,MA,WiSe 2021/22,DE,Einführungspraktikum A,ja,20,5.0,15,MS,Dezember 2021,5.0,5.0,4.0,4.0,4.0,4.0,trifft zu,trifft zu,trifft zu,trifft zu,5.0,trifft zu,trifft zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,5.0,trifft voll zu,trifft voll zu,trifft voll zu,4.0,2.0,sehr häufig,nie,3.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,4.0,,,,,,,,,nie,,,,,3.0,3.0,5.0,4.0,5.0,sehr häufig,sehr häufig,4.0,4.0,4.0,3.0,2.0,2.0,trifft gar nicht zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,5.0,trifft voll und ganz zu,,S,A,J,7,G,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,25.0,54.0,21.0,74.0,24.0,114.0,140.0,70.0,92.0,61.0,87.0,10.0,69.0,83.0,238.0,79.0,8.0,5.0,12.0,40.0,1090.0,,2022-01-24 19:00:08,ausgefüllt,Teilnehmer,22.0,22.0,40.0,37.0,,60.0
497,,,base,interview,2022-02-05 10:14:56,22,weiblich,mit anderen Personen zusammen.,0,nicht erwerbstätig.,,Deutsch,der oberen Mittelschicht,der Mittelschicht,7.0,6.0,8.0,Weder noch,Trifft eher zu,Trifft überhaupt nicht zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher nicht zu,Trifft voll und ganz zu,Trifft eher zu,äußerst wichtig,äußerst wichtig,,,EN,BU,WiSe 2018/19,EN,Vertiefungspraktikum A,ja,40,15.0,10,AHS,November 2021,5.0,5.0,4.0,4.0,4.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,3.0,3.0,4.0,sehr häufig,4.0,nie,4.0,5.0,sehr häufig,sehr häufig,5.0,3.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,nie,3.0,2.0,nie,5.0,nie,nie,5.0,nie,4.0,nie,4.0,nie,4.0,nie,4.0,4.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,4.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,,C,F,L,21,B,5.0,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,3.0,3.0,4.0,3.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,2.0,5.0,nie,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,3.0,73.0,87.0,21.0,183.0,13.0,58.0,102.0,23.0,41.0,41.0,73.0,80.0,68.0,35.0,99.0,53.0,124.0,57.0,103.0,31.0,1224.0,,2022-02-05 10:37:44,ausgefüllt,Teilnehmer,22.0,22.0,2.0,1.0,,5.0
439,,,base,interview,2022-01-27 15:42:23,22,männlich,bei meinen Eltern.,0,nicht erwerbstätig.,0,Deutsch,der oberen Mittelschicht,der Mittelschicht,7.0,7.0,8.0,Trifft eher zu,Weder noch,Trifft eher zu,Trifft eher zu,Trifft eher zu,Trifft eher zu,Weder noch,Trifft eher zu,Weder noch,,,,Kein Erweiterungsfach,GW,BU,WiSe 2021/22,BU,Fachpraktikum B,ja,50,8.0,4,MS,Dezember 2021,5.0,5.0,5.0,5.0,trifft voll zu,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,trifft voll und ganz zu,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,trifft voll zu,trifft voll zu,trifft voll zu,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,trifft voll und ganz zu,trifft gar nicht zu,2.0,trifft gar nicht zu,3.0,trifft gar nicht zu,trifft voll und ganz zu,5.0,5.0,5.0,5.0,,,,,,,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0,45.0,14.0,21.0,9.0,22.0,63.0,24.0,36.0,30.0,17.0,21.0,22.0,17.0,61.0,22.0,22.0,10.0,17.0,4.0,496.0,,2022-01-27 15:50:39,ausgefüllt,Teilnehmer,22.0,22.0,5.0,5.0,,72.0
