CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,D018,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS04_01,PS19_01,PS20_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F008_06,F008_03,F008_05,F008_07,F008_08,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,PP08_01,PP08_02,PP08_03,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,LG13_25,LG13_11,LG13_23,LG13_12,LG13_14,LG13_29,LG13_24,LG13_13,LG13_15,LG13_20,LG15_32,LG15_33,LG15_30,LG15_31,LG15_28,LG15_27,LG15_16,LG15_17,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,CV27_02,CV27_03,CV27_04,CV27_05,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME017,TIME018,TIME019,TIME020,TIME021,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,filter_$
469,,,base,interview,2021-06-17 09:02:41,22,weiblich,mit anderen Personen zusammen.,,während des ganzen Semesters erwerbstätig.,3,Deutsch,,,,,GS,DE,4,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,25.0,7.0,2.0,MS,3,Mai 2021,3.0,2.0,2.0,3.0,3.0,trifft eher zu,teils/teils,trifft eher nicht zu,teils/teils,trifft eher nicht zu,,2.0,3.0,2.0,trifft gar nicht zu,trifft gar nicht zu,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,nie,nie,2.0,nie,3.0,3.0,4.0,2.0,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,teils/teils,teils/teils,teils/teils,trifft eher zu,trifft zu,trifft eher nicht zu,teils/teils,trifft eher nicht zu,,,R,J,V,08,G,4.0,365.0,19.0,,27.0,22.0,24.0,40.0,30.0,46.0,125.0,,,,,,,,41.0,29.0,440.0,,2021-06-17 09:15:33,ausgefüllt,Teilnehmer,21.0,21.0,6.0,2.0,,22.0,Not Selected
344,,,base,interview,2021-06-15 16:20:07,22,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,15,Deutsch,äußerst wichtig,äußerst wichtig,,,DE,BU,4,ja,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,54.0,19.0,5.0,AHS,2,April 2021,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,teils/teils,teils/teils,trifft eher zu,trifft eher zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,5.0,sehr häufig,3.0,5.0,5.0,5.0,sehr häufig,sehr häufig,4.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,5.0,5.0,sehr häufig,5.0,sehr häufig,sehr häufig,5.0,sehr häufig,,,4.0,sehr häufig,sehr häufig,4.0,sehr häufig,5.0,4.0,4.0,sehr häufig,sehr häufig,3.0,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,4.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft zu,,,S,T,F,21,G,1.0,15.0,24.0,,141.0,49.0,55.0,83.0,55.0,69.0,9622.0,,,,,100.0,51.0,93.0,51.0,62.0,982.0,,2021-06-15 19:14:38,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,20.0,Not Selected
115,,,base,interview,2021-06-15 08:33:17,22,männlich,alleine.,,während des ganzen Semesters erwerbstätig.,4,Deutsch,äußerst wichtig,5.0,,,BU,ME,6,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,15.0,8.0,MS,40,April 2021,trifft voll zu,trifft voll zu,3.0,3.0,3.0,trifft zu,trifft zu,trifft nicht zu,trifft eher zu,trifft zu,,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,2.0,3.0,2.0,3.0,trifft voll zu,2.0,2.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,5.0,sehr häufig,5.0,nie,4.0,2.0,4.0,5.0,2.0,3.0,4.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,sehr häufig,5.0,sehr häufig,3.0,3.0,5.0,2.0,5.0,2.0,5.0,5.0,sehr häufig,4.0,2.0,sehr häufig,5.0,4.0,3.0,sehr häufig,nie,3.0,nie,nie,sehr häufig,sehr häufig,5.0,nie,,nie,nie,sehr häufig,nie,sehr häufig,5.0,4.0,4.0,nie,2.0,5.0,sehr häufig,sehr häufig,sehr häufig,2.0,2.0,sehr häufig,4.0,sehr häufig,4.0,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,3.0,trifft voll zu,trifft voll zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,teils/teils,trifft nicht zu,,,C,S,J,09,B,7.0,24.0,36.0,,87.0,19.0,44.0,37.0,40.0,53.0,56.0,190.0,120.0,140.0,199.0,,,,41.0,18.0,1030.0,,2021-06-15 08:51:48,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,15.0,Selected
213,,,base,interview,2021-06-15 10:13:16,22,weiblich,mit meinem*meiner Parnter*in.,,gelegentlich während des Semesters erwerbstätig.,3,Deutsch,,,,,GS,EN,6,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,55.0,17.0,10.0,MS,4,Mai 2021,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,teils/teils,trifft eher zu,trifft eher zu,trifft eher zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,sehr häufig,2.0,nie,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,5.0,5.0,5.0,sehr häufig,4.0,sehr häufig,5.0,sehr häufig,4.0,4.0,sehr häufig,sehr häufig,sehr häufig,4.0,sehr häufig,sehr häufig,4.0,4.0,4.0,sehr häufig,sehr häufig,4.0,nie,sehr häufig,sehr häufig,sehr häufig,nie,nie,sehr häufig,2.0,5.0,5.0,5.0,5.0,4.0,3.0,sehr häufig,5.0,3.0,sehr häufig,sehr häufig,sehr häufig,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,2.0,3.0,4.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher zu,trifft zu,trifft eher zu,trifft eher zu,teils/teils,trifft zu,,"Ich finde, dass sich bei den Bildungswissenschaftlichen und Fachdidaktischen Begleitlehrveranstaltung viele Themen wiederholen und man oftmals das Gefühl hat man macht die Lehrveranstaltung gerade zum zweiten Mal, nur trägt sie einen anderen Namen. Ich fände es besser, wenn solche Dinge unter dem Lehrpersonal besser abgesprochen wären.",C,M,V,08,G,2.0,36.0,19.0,,42.0,20.0,39.0,39.0,54.0,63.0,105.0,99.0,77.0,64.0,104.0,,,,44.0,108.0,849.0,,2021-06-15 10:28:31,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,14.0,Selected
248,,,base,interview,2021-06-15 11:00:14,22,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,5.0,,,PuP,DE,8,ja,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ja,,,,,50.0,6.0,10.0,"BMHS (z. B. HTL, HAK, ...)",2,Mai 2021,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,teils/teils,teils/teils,trifft nicht zu,trifft zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,4.0,2.0,2.0,5.0,5.0,3.0,nie,3.0,nie,nie,sehr häufig,nie,nie,nie,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,5.0,nie,4.0,nie,4.0,4.0,5.0,nie,3.0,3.0,3.0,5.0,nie,5.0,5.0,nie,nie,3.0,nie,sehr häufig,5.0,nie,3.0,4.0,5.0,nie,nie,nie,nie,5.0,nie,5.0,4.0,sehr häufig,nie,nie,nie,nie,4.0,5.0,5.0,nie,3.0,5.0,nie,5.0,4.0,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,nie,4.0,4.0,5.0,5.0,5.0,5.0,5.0,trifft voll zu,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,teils/teils,trifft zu,trifft eher nicht zu,trifft zu,trifft zu,trifft eher zu,teils/teils,,,P,P,J,16,B,5.0,31.0,33.0,,64.0,26.0,27.0,45.0,33.0,77.0,51.0,69.0,67.0,49.0,153.0,,,,60.0,27.0,817.0,,2021-06-15 11:13:51,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,12.0,Selected
675,,,base,interview,2021-06-24 08:05:49,22,männlich,alleine.,,während des ganzen Semesters erwerbstätig.,20,Deutsch,6.0,5.0,,,GS,GW,4,ja,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,51.0,21.0,10.0,MS,2,April 2021,3.0,3.0,3.0,trifft voll zu,trifft voll zu,teils/teils,trifft zu,trifft zu,teils/teils,trifft zu,,trifft voll zu,3.0,3.0,3.0,trifft gar nicht zu,2.0,2.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,3.0,2.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,3.0,trifft voll zu,4.0,4.0,,2.0,4.0,5.0,5.0,4.0,5.0,sehr häufig,3.0,sehr häufig,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,3.0,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,4.0,5.0,5.0,4.0,sehr häufig,5.0,4.0,5.0,5.0,4.0,5.0,sehr häufig,sehr häufig,5.0,3.0,4.0,4.0,5.0,sehr häufig,sehr häufig,4.0,3.0,3.0,5.0,sehr häufig,5.0,3.0,nie,5.0,sehr häufig,4.0,sehr häufig,5.0,5.0,5.0,4.0,5.0,nie,2.0,nie,nie,2.0,nie,trifft voll zu,trifft voll zu,5.0,trifft voll zu,5.0,trifft voll zu,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft zu,teils/teils,teils/teils,teils/teils,trifft eher zu,,,G,M,M,6,B,25.0,31.0,64.0,,106.0,34.0,42.0,58.0,53.0,70.0,167.0,,,,,69.0,25.0,45.0,49.0,90.0,928.0,,2021-06-24 08:21:17,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,5.0,Not Selected
282,,,base,interview,2021-06-15 12:06:41,22,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,9,Deutsch,äußerst wichtig,äußerst wichtig,,,MA,BU,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,25.0,3.0,2.0,AHS,3,Mai 2021,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,teils/teils,trifft eher zu,teils/teils,trifft eher zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,4.0,5.0,2.0,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,trifft nicht zu,trifft nicht zu,trifft eher zu,teils/teils,trifft eher zu,teils/teils,trifft zu,trifft zu,teils/teils,trifft eher nicht zu,teils/teils,trifft eher zu,,,B,H,J,9,B,4.0,35.0,43.0,,43.0,28.0,63.0,64.0,43.0,74.0,141.0,,,,,,,,74.0,37.0,649.0,,2021-06-15 12:17:30,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,3.0,Not Selected
435,,,base,interview,2021-06-16 21:50:36,22,männlich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,4,Deutsch,äußerst wichtig,4.0,,,PH,ME,4,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,65.0,12.0,4.0,AHS,2,April 2021,3.0,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft zu,,trifft voll zu,2.0,3.0,trifft voll zu,3.0,trifft gar nicht zu,trifft gar nicht zu,3.0,3.0,2.0,3.0,trifft voll zu,2.0,trifft gar nicht zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,2.0,trifft gar nicht zu,trifft voll zu,3.0,3.0,4.0,sehr häufig,5.0,4.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,2.0,2.0,5.0,nie,2.0,nie,nie,nie,nie,nie,nie,nie,2.0,2.0,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,5.0,sehr häufig,5.0,3.0,2.0,4.0,nie,nie,nie,nie,nie,,5.0,sehr häufig,sehr häufig,4.0,nie,nie,nie,sehr häufig,sehr häufig,sehr häufig,sehr häufig,nie,nie,4.0,nie,nie,nie,nie,sehr häufig,sehr häufig,nie,5.0,sehr häufig,sehr häufig,4.0,4.0,nie,2.0,sehr häufig,3.0,2.0,2.0,sehr häufig,4.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft eher zu,trifft eher zu,teils/teils,teils/teils,teils/teils,trifft eher zu,"Die Platzzahlen für die allgemein bildungswissenschaftliche Begleit-LVA in der Domäne MINT sollte auf die Anmeldungen für Praktikumsplätze abgestimmt werden. Viele miner Kolleg*innen hatten das Problem, in dieser keinen Platz mehr bekommen zu haben (also in Lehr-/Lernarrangements planen, gestalten und evaluieren).",,A,K,S,16,H,4.0,30.0,61.0,,55.0,50.0,23.0,74.0,52.0,107.0,184.0,,,,,110.0,45.0,71.0,58.0,143.0,966.0,,2021-06-16 22:08:23,ausgefüllt,Teilnehmer,21.0,21.0,3.0,1.0,,3.0,Not Selected
116,,,base,interview,2021-06-15 08:36:32,22,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,6.0,6.0,PuP,GS,MA,8,ja,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ja,,,,,50.0,10.0,10.0,MS,2,April 2021,2.0,2.0,3.0,trifft voll zu,3.0,trifft eher zu,trifft zu,teils/teils,trifft eher zu,trifft zu,,trifft voll zu,3.0,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,trifft gar nicht zu,trifft voll zu,3.0,3.0,2.0,trifft gar nicht zu,3.0,trifft voll zu,3.0,4.0,sehr häufig,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,nie,nie,2.0,3.0,nie,nie,nie,nie,nie,nie,2.0,nie,2.0,nie,nie,nie,nie,sehr häufig,sehr häufig,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,nie,4.0,5.0,4.0,4.0,3.0,3.0,4.0,sehr häufig,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,3.0,4.0,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,sehr häufig,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft zu,teils/teils,trifft eher zu,trifft eher nicht zu,teils/teils,trifft eher zu,,,S,W,V,30,B,22.0,38.0,75.0,,57.0,42.0,50.0,59.0,52.0,80.0,98.0,80.0,108.0,67.0,128.0,,,,49.0,48.0,1053.0,,2021-06-15 08:54:05,ausgefüllt,Teilnehmer,21.0,21.0,2.0,1.0,,2.0,Selected
714,,,base,interview,2021-06-24 16:47:31,22,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,8,Deutsch,äußerst wichtig,äußerst wichtig,,,EH,MA,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,36.0,6.0,2.0,MS,3,Mai 2021,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,teils/teils,trifft eher zu,trifft eher zu,trifft zu,trifft zu,,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,3.0,sehr häufig,sehr häufig,4.0,2.0,3.0,4.0,5.0,5.0,5.0,sehr häufig,5.0,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,5.0,4.0,sehr häufig,4.0,5.0,5.0,5.0,4.0,5.0,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft eher zu,teils/teils,trifft nicht zu,trifft eher zu,trifft nicht zu,teils/teils,trifft zu,trifft eher zu,teils/teils,,,C,M,E,10,b,6.0,35.0,108.0,,152.0,50.0,33.0,56.0,50.0,77.0,139.0,,,,,,,,113.0,39.0,802.0,,2021-06-24 17:01:49,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,1.0,Not Selected
587,,,base,interview,2021-06-22 09:55:09,22,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,äußerst wichtig,,,GS,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,30.0,7.0,2.0,MS,1,Mai 2021,3.0,3.0,3.0,3.0,3.0,teils/teils,trifft eher nicht zu,trifft eher nicht zu,trifft nicht zu,trifft zu,Ich studiere Englisch und Geschichte und meine erste zugeteilte Praxispädagogin war Mathematik- und Biologielehrerin,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,sehr häufig,3.0,nie,5.0,5.0,5.0,5.0,sehr häufig,sehr häufig,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,5.0,4.0,5.0,nie,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,teils/teils,trifft nicht zu,trifft zu,trifft nicht zu,teils/teils,trifft zu,trifft eher zu,teils/teils,teils/teils,teils/teils,trifft eher nicht zu,teils/teils,,,K,H,R,15,B,21.0,38.0,84.0,,46.0,39.0,86.0,43.0,59.0,62.0,214.0,,,,,,,,68.0,51.0,811.0,,2021-06-22 10:08:40,ausgefüllt,Teilnehmer,21.0,21.0,4.0,1.0,,1.0,Not Selected
239,,,base,interview,2021-06-15 10:46:39,22,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,7,Deutsch,5.0,6.0,,,PuP,EN,8,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,10.0,11.0,AHS,2,Mai 2021,2.0,3.0,2.0,trifft voll zu,3.0,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,3.0,3.0,2.0,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,4.0,3.0,nie,3.0,4.0,4.0,5.0,4.0,2.0,nie,nie,nie,2.0,nie,nie,nie,nie,nie,nie,2.0,2.0,nie,nie,nie,nie,nie,nie,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,sehr häufig,4.0,5.0,5.0,4.0,3.0,2.0,5.0,sehr häufig,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,sehr häufig,5.0,3.0,nie,3.0,4.0,sehr häufig,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,5.0,4.0,sehr häufig,4.0,5.0,trifft voll zu,5.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft eher nicht zu,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,teils/teils,teils/teils,trifft eher zu,teils/teils,teils/teils,trifft eher zu,trifft eher zu,teils/teils,,,V,M,S,29,G,5.0,20.0,29.0,,35.0,12.0,12.0,25.0,14.0,25.0,25.0,31.0,41.0,22.0,49.0,,,,24.0,21.0,390.0,,2021-06-15 10:53:09,ausgefüllt,Teilnehmer,21.0,21.0,3.0,0.0,,68.0,Selected
