CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,SC01,SD01_01,SD02,SD03_01,SD04,SD05,SD06,SD08_01,SD08_02,SD08_03,SD08_04,SD08_05,SD08_06,SD08_07,SD09,LV03_01,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,RS01_01,RS01_02,RS01_03,RS01_04,RS01_05,RS01_06,RS01_07,RS01_08,RS01_09,RS01_10,RS01_11,RS01_12,RS01_13,BE01_01,BE01_02,BE01_03,BE01_04,BE01_05,BE01_06,BE01_07,BE01_08,BE01_09,BE01_10,BE01_11,BE01_12,BE02_01,BE02_02,BE02_03,BE02_04,BE02_05,BE02_06,BE02_07,BL01_01,BL01_02,BL01_03,BL01_04,BL03_01,BL03_02,BL03_03,BL03_04,BL03_05,BL03_06,BL03_07,BL03_08,EN01_01,CO01_01,SC03,SC04,SD10,LV01_01,LV02,IP01,IP06_01,IP06_02,IP06_03,IP06_04,IP06_05,BE03_01,BL02_01,BL02_02,BL02_03,BL02_04,BL04_01,BL04_02,BL04_03,BL04_04,BL04_05,BL04_06,BL04_07,BL04_08,BL04_09,SD07_01,IP02_01,IP02_02,IP02_03,IP02_04,IP02_05,IP02_06,IP03_01,IP04,IP05_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP01_08,PP01_09,PP01_10,PP02_01,PP02_02,PP02_03,PP02_04,PP02_05,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP01_07,TP03_01,TP03_02,TP03_03,TP03_04,TP03_05,BL05_01,BL05_02,BL05_03,BL05_04,BL05_05,BL05_06,BL05_07,BL05_08,BL05_09,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,TP02_07,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME_SUM,MAILSENT,LASTDATA
404,,,base,interview,2023-05-09 12:01:24,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,1.17,13.0,Ja,20.0,männlich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,nein,30.0,5.0,4.0,3.0,5.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,6.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,trifft nicht zu,trifft zu,2.0,trifft zu,3.0,trifft zu,2.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,3.0,4.0,stimme vollständig zu,Physik Lehramtsstudium benutzerfreundlicher machen! Ein Tutorium bei den Grundlagen 1-3 Vorlesungen wäre für Physik-Lehramtler überlebenswichtig!,MEN15B,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,6.0,7.0,5.0,10.0,7.0,5.0,13.0,4.0,,,8.0,,,,,33.0,,,42.0,91.0,19.0,,,,13.0,,35.0,,73.0,45.0,17.0,452.0,,2023-05-09 12:08:56
364,,,base,interview,2023-05-09 09:00:46,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,1.0,7.0,Ja,27.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,nein,33.0,5.0,trifft voll zu,trifft voll zu,5.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,3.0,6.0,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,trifft zu,2.0,trifft zu,3.0,3.0,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,3.0,4.0,4.0,Das zusätzliche Praktikum (mit sehr wenigen dafür erhaltenen ECTS) ist für Berufstätige oft schwer zeitlich vereinbar.,MDN04G,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,10.0,8.0,6.0,7.0,13.0,9.0,23.0,6.0,,,6.0,,,,,35.0,,,66.0,77.0,25.0,,,,16.0,,43.0,,55.0,23.0,20.0,502.0,,2023-05-09 09:09:08
1058,,,base,interview,2023-05-24 17:55:08,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,1.17,13.0,Ja,27.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,ja,33.0,4.0,4.0,4.0,4.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,2.0,6.0,ja Ich stimme völlig zu,5.0,6.0,6.0,5.0,6.0,3.0,5.0,trifft voll und ganz zu,5.0,5.0,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,4.0,5.0,4.0,5.0,5.0,3.0,trifft zu,2.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,4.0,stimme vollständig zu,"Die Fragen zu Beispielen/Vorführungen waren etwas schwer zu beantworten - 20 Fragen nacheinander können nicht alle ""das Beste"" sein. Ansonsten sehr gut, dass auch anderweitig erwerbstätige eingebunden werden, da dies beim anderen Fragebogen nicht inkludiert wurde. Für Berufstätige ist das Studium sehr schwierig (vor allem mit LVAs in Salzburg UND dem Praktikum) zu vereinbaren.",MDN04G,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,5.0,5.0,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,3.0,trifft voll und ganz zu,trifft zu,trifft zu,3.0,trifft zu,3.0,trifft zu,trifft zu,trifft zu,3.0,,,,,,,,37.0,8.0,6.0,6.0,8.0,10.0,9.0,19.0,7.0,,,6.0,,,,,28.0,38.0,33.0,52.0,81.0,22.0,,25.0,26.0,15.0,,31.0,32.0,107.0,15.0,13.0,634.0,,2023-05-24 18:05:42
986,,,base,interview,2023-05-24 14:10:05,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,1.05,6.0,Ja,37.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2019/20,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,ja,27.0,4.0,5.0,2.0,5.0,5.0,6.0,5.0,6.0,5.0,2.0,5.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,trifft voll und ganz zu,4.0,4.0,5.0,4.0,4.0,2.0,3.0,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,5.0,4.0,2.0,2.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,3.0,3.0,4.0,,RKE26B,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,4.0,5.0,5.0,5.0,5.0,5.0,trifft voll und ganz zu,5.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,,,,,,,14.0,7.0,4.0,6.0,12.0,19.0,10.0,23.0,5.0,,,11.0,,,,,35.0,58.0,31.0,47.0,82.0,29.0,,43.0,24.0,17.0,,49.0,24.0,5.0,24.0,25.0,604.0,,2023-05-24 14:20:09
699,,,base,interview,2023-05-13 08:35:08,ausgefüllt,Teilnehmer,32.0,32.0,3.0,2.0,1.26,20.0,Ja,22.0,männlich,,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2020/21,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,ja,25.0,5.0,trifft voll zu,5.0,trifft voll zu,trifft voll zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,6.0,5.0,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,5.0,3.0,4.0,4.0,2.0,trifft zu,trifft nicht zu,trifft zu,2.0,trifft zu,2.0,trifft gar nicht zu,trifft gar nicht zu,3.0,2.0,stimme vollständig zu,stimme vollständig zu,,stimme vollständig zu,stimme vollständig zu,4.0,3.0,3.0,,MDH14B,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll und ganz zu,2.0,2.0,2.0,3.0,2.0,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,3.0,3.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,,,,,,,10.0,5.0,3.0,7.0,6.0,14.0,8.0,25.0,10.0,,,50.0,,,,,29.0,19.0,43.0,55.0,144.0,40.0,,36.0,28.0,16.0,,37.0,12.0,3.0,25.0,23.0,648.0,,2023-05-13 08:45:57
860,,,base,interview,2023-05-23 09:50:37,ausgefüllt,Teilnehmer,32.0,32.0,1.0,1.0,1.09,10.0,Ja,25.0,männlich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2021/22,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,nein,23.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,6.0,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,trifft voll und ganz zu,5.0,5.0,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,4.0,5.0,4.0,4.0,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft nicht zu,trifft gar nicht zu,trifft gar nicht zu,4.0,trifft gar nicht zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,stimme vollständig zu,stimme gar nicht zu,3.0,3.0,,GJS26B,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,5.0,6.0,29.0,11.0,5.0,14.0,5.0,,,6.0,,,,,32.0,,,64.0,98.0,34.0,,,,27.0,,48.0,,4.0,33.0,47.0,481.0,,2023-05-23 09:58:38
1165,,,base,interview,2023-05-30 22:15:14,ausgefüllt,Teilnehmer,32.0,32.0,1.0,1.0,0.88,4.0,Ja,25.0,weiblich,1.0,Master Lehramt Sekundarstufe (Allgemeinbildung),SoSe 2023,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,nein,4.0,5.0,5.0,2.0,5.0,4.0,ja Ich stimme völlig zu,6.0,6.0,5.0,4.0,3.0,3.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,6.0,3.0,5.0,2.0,5.0,4.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,5.0,4.0,5.0,4.0,3.0,2.0,trifft zu,trifft nicht zu,trifft zu,3.0,trifft zu,2.0,2.0,3.0,2.0,2.0,4.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,3.0,3.0,3.0,,MWM11B,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,8.0,8.0,8.0,16.0,10.0,13.0,22.0,5.0,,,8.0,,,,,37.0,,,57.0,141.0,30.0,,,,34.0,,55.0,,3.0,35.0,44.0,545.0,,2023-05-30 22:25:26
416,,,base,interview,2023-05-09 16:33:37,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,0.93,5.0,Ja,28.0,weiblich,0.0,HLG Quereinstieg,,Ich bin an einer Schule als Lehrkraft tätig und anderweitig erwerbstätig.,,,,,,,,,15.0,trifft voll zu,5.0,5.0,5.0,trifft voll zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,6.0,6.0,6.0,5.0,6.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,4.0,4.0,5.0,trifft voll und ganz zu,trifft nicht zu,trifft zu,3.0,trifft zu,3.0,3.0,3.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,3.0,4.0,,SFL12G,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",AHS,11.0,überwiegend in meinen Fächern,Ich habe keine Induktionsphase absolviert.,5.0,5.0,5.0,5.0,trifft nicht zu,3.0,2.0,4.0,trifft nicht zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft zu,3.0,3.0,3.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft voll und ganz zu,4.0,4.0,5.0,5.0,,,,,,,,,,trifft voll und ganz zu,3.0,3.0,3.0,4.0,4.0,4.0,14.0,15.0,5.0,15.0,,16.0,23.0,,,6.0,30.0,10.0,11.0,,,19.0,37.0,,,63.0,78.0,31.0,8.0,32.0,42.0,22.0,27.0,38.0,31.0,3.0,36.0,20.0,632.0,,2023-05-09 16:44:10
713,,,base,interview,2023-05-14 09:36:29,ausgefüllt,Teilnehmer,32.0,32.0,4.0,3.0,0.85,2.0,Ja,35.0,männlich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2019/20,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,,,,,ja,12.0,5.0,4.0,4.0,5.0,3.0,6.0,ja Ich stimme völlig zu,6.0,6.0,3.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,5.0,6.0,6.0,ja Ich stimme völlig zu,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,3.0,trifft zu,trifft nicht zu,4.0,5.0,3.0,2.0,4.0,stimme vollständig zu,4.0,stimme vollständig zu,stimme vollständig zu,2.0,4.0,stimme vollständig zu,"Ich würde mir wünschen, dass das Studium berufsbegleitend angeboten wird. Es ist sehr schwer Beruf und Studium zeitlich zu verbinden. Viel besser wäre auch während der Praktika lehrveranstaltungsfrei zu bekommen um sich voll und ganz auf die Tätigkeit an der Schule zu konzentrieren. Vieles an theoretischen Inhalten sind in der Praxis wenig bis nicht umzusetzen. Mehr praktische Beispiele und Transfer an die Schule wäre wunschenswert, Allgemein weniger Theorieinput und viel mehr Reflexion und praktische Vorbereitung auf die Lehrtätigkeit fände ich besser.",MJT24B,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,5.0,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,2.0,trifft gar nicht zu,trifft gar nicht zu,5.0,4.0,trifft gar nicht zu,5.0,5.0,trifft gar nicht zu,3.0,trifft gar nicht zu,2.0,trifft gar nicht zu,2.0,4.0,trifft gar nicht zu,trifft voll und ganz zu,5.0,3.0,trifft voll und ganz zu,5.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,3.0,2.0,trifft zu,trifft zu,trifft zu,,,,,,,,31.0,8.0,7.0,6.0,77.0,13.0,15.0,18.0,5.0,,,47.0,,,,,36.0,62.0,39.0,60.0,77.0,27.0,,44.0,20.0,26.0,,36.0,41.0,129.0,26.0,20.0,870.0,,2023-05-14 09:50:59
375,,,base,interview,2023-05-09 09:01:20,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,1.14,10.0,Ja,39.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,ja,39.0,trifft voll zu,trifft voll zu,5.0,5.0,5.0,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,6.0,4.0,ja Ich stimme völlig zu,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,trifft nicht zu,trifft zu,3.0,3.0,trifft zu,4.0,4.0,4.0,3.0,4.0,stimme vollständig zu,stimme vollständig zu,4.0,4.0,2.0,4.0,3.0,,HGJ14b,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,4.0,5.0,trifft voll und ganz zu,2.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,5.0,trifft voll und ganz zu,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,3.0,trifft zu,,,,,,,,28.0,6.0,5.0,5.0,8.0,10.0,11.0,24.0,7.0,,,9.0,,,,,31.0,40.0,31.0,43.0,68.0,24.0,,39.0,21.0,17.0,,47.0,30.0,3.0,33.0,18.0,558.0,,2023-05-09 09:10:38
644,,,base,interview,2023-05-12 14:19:25,ausgefüllt,Teilnehmer,32.0,32.0,5.0,4.0,1.38,21.0,,36.0,weiblich,,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2020/21,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,,,ja,34.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,3.0,3.0,4.0,5.0,trifft voll und ganz zu,5.0,2.0,3.0,4.0,3.0,3.0,2.0,trifft zu,2.0,trifft zu,3.0,3.0,2.0,5.0,4.0,5.0,4.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,4.0,,MRS13G,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,2.0,trifft gar nicht zu,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,trifft voll und ganz zu,2.0,3.0,3.0,3.0,trifft gar nicht zu,2.0,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,3.0,trifft zu,trifft zu,trifft zu,,,,,,,,4.0,4.0,4.0,4.0,12.0,6.0,4.0,10.0,9.0,,,5.0,,,,,34.0,39.0,40.0,49.0,78.0,27.0,,36.0,24.0,20.0,,32.0,44.0,4.0,40.0,12.0,541.0,,2023-05-12 14:28:27
296,,,base,interview,2023-05-08 18:28:52,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,1.75,47.0,Ja,21.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2020/21,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,noch nicht absolviert,ja,30.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,ja Ich stimme völlig zu,2.0,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,5.0,ja Ich stimme völlig zu,4.0,4.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,4.0,5.0,4.0,3.0,trifft nicht zu,3.0,trifft nicht zu,trifft zu,2.0,trifft zu,trifft nicht zu,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,3.0,4.0,,EGC23G,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,trifft gar nicht zu,3.0,3.0,4.0,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft voll und ganz zu,trifft gar nicht zu,3.0,4.0,trifft voll und ganz zu,3.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,trifft nicht zu,trifft nicht zu,trifft nicht zu,2.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,,,,,,,4.0,4.0,2.0,3.0,3.0,4.0,2.0,11.0,3.0,,,4.0,,,,,18.0,42.0,36.0,46.0,77.0,19.0,,41.0,21.0,17.0,,26.0,36.0,3.0,27.0,22.0,471.0,,2023-05-08 18:36:44
571,,,base,interview,2023-05-11 15:36:17,ausgefüllt,Teilnehmer,32.0,32.0,3.0,2.0,0.75,1.0,Ja,23.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2019/20,Ich bin anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,,nein,30.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,ja Ich stimme völlig zu,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,trifft zu,3.0,trifft zu,3.0,3.0,3.0,5.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,DHE07B,Eher Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,7.0,15.0,4.0,23.0,16.0,47.0,31.0,8.0,,,10.0,,,,,62.0,,,86.0,125.0,27.0,,,,25.0,,57.0,,6.0,39.0,28.0,637.0,,2023-05-11 15:46:54
